count,event_type,timestamp_sec,timestamp_nsec
232,rising,16686,486494377
233,falling,16686,486671098
234,rising,16686,486931055
235,falling,16686,486999544
236,rising,16686,487162392
237,falling,16686,487327864
238,rising,16686,487494212
239,falling,16686,487660559
240,rising,16686,487826906
241,falling,16686,487993754
242,rising,16686,488160851
243,falling,16686,488326823
244,rising,16686,488496795
245,falling,16686,488660393
246,rising,16686,488827366
247,falling,16686,488993463
248,rising,16686,489160560
249,falling,16686,489326658
250,rising,16686,489496630
251,falling,16686,489660602
252,rising,16686,489826950
253,falling,16686,489994172
254,rising,16686,490161269
255,falling,16686,490327367
256,rising,16686,490493839
257,falling,16686,490660062
258,rising,16686,490826534
259,falling,16686,490993007
260,rising,16686,491159729
261,falling,16686,491326826
262,rising,16686,491493424
263,falling,16686,491662646
264,rising,16686,491826618
265,falling,16686,491993341
266,rising,16686,492160188
267,falling,16686,492326661
268,rising,16686,492493383
269,falling,16686,492662480
270,rising,16686,492826703
271,falling,16686,492993175
272,rising,16686,493160022
273,falling,16686,493326370
274,rising,16686,493492717
275,falling,16686,493662439
276,rising,16686,493826662
277,falling,16686,493993259
278,rising,16686,494159607
279,falling,16686,494326079
280,rising,16686,494493426
281,falling,16686,494659774
282,rising,16686,494826996
283,falling,16686,494993094
284,rising,16686,495159941
285,falling,16686,495326788
286,rising,16686,495493761
287,falling,16686,495659358
288,rising,16686,495829330
289,falling,16686,495993303
290,rising,16686,496159775
291,falling,16686,496359367
292,rising,16686,496496219
293,falling,16686,496661192
294,rising,16686,496831164
295,falling,16686,496994512
296,rising,16686,497160984
297,falling,16686,497327457
298,rising,16686,497494804
299,falling,16686,497661151
300,rising,16686,497828124
301,falling,16686,497993846
302,rising,16686,498161943
303,falling,16686,498329790
304,rising,16686,498495263
305,falling,16686,498661236
306,rising,16686,498827708
307,falling,16686,498997305
308,rising,16686,499161153
309,falling,16686,499328000
310,rising,16686,499494722
311,falling,16686,499661195
312,rising,16686,499827917
313,falling,16686,499997139
314,rising,16686,500162237
315,falling,16686,500328209
316,rising,16686,500494557
317,falling,16686,500661529
318,rising,16686,500827876
319,falling,16686,500997723
320,rising,16686,501161196
321,falling,16686,501327919
322,rising,16686,501494766
323,falling,16686,501661363
324,rising,16686,501828211
325,falling,16686,501994433
326,rising,16686,502161155
327,falling,16686,502327878
328,rising,16686,502494725
329,falling,16686,502661572
330,rising,16686,502827795
331,falling,16686,502994267
332,rising,16686,503164739
333,falling,16686,503327962
334,rising,16686,503494684
335,falling,16686,503661157
336,rising,16686,503827879
337,falling,16686,503994851
338,rising,16686,504163948
339,falling,16686,504328046
340,rising,16686,504494519
341,falling,16686,504660741
342,rising,16686,504828088
343,falling,16686,504994561
344,rising,16686,505161158
345,falling,16686,505327506
346,rising,16686,505494853
347,falling,16686,505661200
348,rising,16686,505827673
349,falling,16686,505994270
350,rising,16686,506160992
351,falling,16686,506330589
352,rising,16686,506494687
353,falling,16686,506661284
354,rising,16686,506828007
355,falling,16686,506994104
356,rising,16686,507161077
357,falling,16686,507330674
358,rising,16686,507494646
359,falling,16686,507661369
360,rising,16686,507828216
361,falling,16686,507994189
362,rising,16686,508161161
363,falling,16686,508331008
364,rising,16686,508494731
365,falling,16686,508661203
366,rising,16686,508828175
367,falling,16686,508994648
368,rising,16686,509161245
369,falling,16686,509327842
370,rising,16686,509494565
371,falling,16686,509661662
372,rising,16686,509828010
373,falling,16686,509994607
374,rising,16686,510162079
375,falling,16686,510327677
376,rising,16686,510497649
377,falling,16686,510660997
378,rising,16686,510828094
379,falling,16686,510994566
380,rising,16686,511161164
381,falling,16686,511327761
382,rising,16686,511497483
383,falling,16686,511660831
384,rising,16686,511827928
385,falling,16686,511994525
386,rising,16686,512161498
387,falling,16686,512328095
388,rising,16686,512494568
389,falling,16686,512661165
390,rising,16686,512828012
391,falling,16686,512994485
392,rising,16686,513160957
393,falling,16686,513327680
394,rising,16686,513494777
395,falling,16686,513664499
396,rising,16686,513828097
397,falling,16686,513994569
398,rising,16686,514161291
399,falling,16686,514328014
400,rising,16686,514494486
401,falling,16686,514663958
402,rising,16686,514827556
403,falling,16686,514994653
404,rising,16686,515161501
405,falling,16686,515327848
406,rising,16686,515494445
407,falling,16686,515664042
408,rising,16686,515828015
409,falling,16686,515994862
410,rising,16686,516161085
411,falling,16686,516327932
412,rising,16686,516494655
413,falling,16686,516661002
414,rising,16686,516830724
415,falling,16686,516994447
416,rising,16686,517160919
417,falling,16686,517327766
418,rising,16686,517494614
419,falling,16686,517661086
420,rising,16686,517830933
421,falling,16686,517994531
422,rising,16686,518161128
423,falling,16686,518327601
424,rising,16686,518494323
425,falling,16686,518661545
426,rising,16686,518830642
427,falling,16686,518994240
428,rising,16686,519160713
429,falling,16686,519327185
430,rising,16686,519494532
431,falling,16686,519661255
432,rising,16686,519827852
433,falling,16686,519994574
434,rising,16686,520161922
435,falling,16686,520327644
436,rising,16686,520494617
437,falling,16686,520660964
438,rising,16686,520828061
439,falling,16686,520997033
440,rising,16686,521161381
441,falling,16686,521327853
442,rising,16686,521494451
443,falling,16686,521661423
444,rising,16686,521827646
445,falling,16686,521997242
446,rising,16686,522161340
447,falling,16686,522327938
448,rising,16686,522494910
449,falling,16686,522661507
450,rising,16686,522828105
451,falling,16686,522998577
452,rising,16686,523162049
453,falling,16686,523328272
454,rising,16686,523494744
455,falling,16686,523661092
456,rising,16686,523827564
457,falling,16686,523994536
458,rising,16686,524164633
459,falling,16686,524327856
460,rising,16686,524494454
461,falling,16686,524661051
462,rising,16686,524827898
463,falling,16686,524994621
464,rising,16686,525163968
465,falling,16686,525327940
466,rising,16686,525494788
467,falling,16686,525661260
468,rising,16686,525828232
469,falling,16686,525994580
470,rising,16686,526163677
471,falling,16686,526327775
472,rising,16686,526494622
473,falling,16686,526661094
474,rising,16686,526827567
475,falling,16686,526994664
476,rising,16686,527161012
477,falling,16686,527327734
478,rising,16686,527494456
479,falling,16686,527661179
480,rising,16686,527827526
481,falling,16686,527994623
482,rising,16686,528161221
483,falling,16686,528330318
484,rising,16686,528494666
485,falling,16686,528661013
486,rising,16686,528827485
487,falling,16686,528994083
488,rising,16686,529160805
489,falling,16686,529330527
490,rising,16686,529494250
491,falling,16686,529661472
492,rising,16686,529827820
493,falling,16686,529994542
494,rising,16686,530161764
495,falling,16686,530327862
496,rising,16686,530494709
497,falling,16686,530661306
498,rising,16686,530827904
499,falling,16686,530994501
500,rising,16686,531161348
501,falling,16686,531327946
502,rising,16686,531497293
503,falling,16686,531661391
504,rising,16686,531827863
505,falling,16686,531994085
506,rising,16686,532161058
507,falling,16686,532327905
508,rising,16686,532497377
509,falling,16686,532661475
510,rising,16686,532828447
511,falling,16686,532994295
512,rising,16686,533161392
513,falling,16686,533327614
