Time [s],Channel 0,Channel 2
4.113067680,1,1
4.118063840,0,1
4.118067680,0,0
4.123063680,1,0
4.123067520,1,1
4.128063680,0,1
4.128067520,0,0
4.133063520,1,0
4.133067360,1,1
4.138063520,0,1
4.138067360,0,0
4.143063360,1,0
4.143067200,1,1
4.148063360,0,1
4.148067200,0,0
4.153063200,1,0
4.153067040,1,1
4.158063200,0,1
4.158067040,0,0
4.163063040,1,0
4.163066880,1,1
4.168062880,0,1
4.168066880,0,0
4.173062880,1,0
4.173066560,1,1
4.178062720,0,1
4.178066560,0,0
4.183062720,1,0
4.183066400,1,1
4.188062560,0,1
4.188066400,0,0
4.193062560,1,0
4.193066240,1,1
4.198062400,0,1
4.198066240,0,0
4.203062240,1,0
4.203066080,1,1
4.208062240,0,1
4.208066080,0,0
4.213062080,1,0
4.213065920,1,1
4.218062080,0,1
4.218065920,0,0
4.223061920,1,0
4.223065760,1,1
4.228061920,0,1
4.228065760,0,0
4.233061760,1,0
4.233065600,1,1
4.238061760,0,1
4.238065600,0,0
4.243061600,1,0
4.243065440,1,1
4.248061600,0,1
4.248065440,0,0
4.253061440,1,0
4.253065280,1,1
4.258061280,0,1
4.258065280,0,0
4.263061280,1,0
4.263065120,1,1
4.268061120,0,1
4.268065120,0,0
4.273061120,1,0
4.273064800,1,1
4.278060960,0,1
4.278064800,0,0
4.283060960,1,0
4.283064800,1,1
4.288060800,0,1
4.288064640,0,0
4.293060640,1,0
4.293064480,1,1
4.298060640,0,1
4.298064480,0,0
4.303060480,1,0
4.303064320,1,1
4.308060480,0,1
4.308064320,0,0
4.313060320,1,0
4.313064160,1,1
4.318060320,0,1
4.318064160,0,0
4.323060160,1,0
4.323064000,1,1
4.328060160,0,1
4.328064000,0,0
4.333060000,1,0
4.333063840,1,1
4.338060000,0,1
4.338063840,0,0
4.343059840,1,0
4.343063680,1,1
4.348059680,0,1
4.348063680,0,0
4.353059680,1,0
4.353063520,1,1
4.358059520,0,1
4.358063520,0,0
4.363059520,1,0
4.363063200,1,1
4.368059360,0,1
4.368063200,0,0
4.373059360,1,0
4.373063040,1,1
4.378059200,0,1
4.378063040,0,0
4.383059040,1,0
4.383062880,1,1
4.388059040,0,1
4.388062880,0,0
4.393058880,1,0
4.393062720,1,1
4.398058880,0,1
4.398062720,0,0
4.403058720,1,0
4.403062560,1,1
4.408058720,0,1
4.408062560,0,0
4.413058560,1,0
4.413062400,1,1
4.418058560,0,1
4.418062400,0,0
4.423058400,1,0
4.423062240,1,1
4.428058400,0,1
4.428062240,0,0
4.433058240,1,0
4.433061120,1,1
4.438058080,0,1
4.438062240,0,0
4.443058080,1,0
4.443061920,1,1
4.448057920,0,1
4.448061920,0,0
4.453057920,1,0
4.453061600,1,1
4.458057760,0,1
4.458061600,0,0
4.463057760,1,0
4.463061440,1,1
4.468057600,0,1
4.468061440,0,0
4.473057440,1,0
4.473061280,1,1
4.478057440,0,1
4.478061280,0,0
4.483057280,1,0
4.483061120,1,1
4.488057280,0,1
4.488061120,0,0
4.493057120,1,0
4.493060960,1,1
4.498057120,0,1
4.498060960,0,0
4.503056960,1,0
4.503060800,1,1
4.508056960,0,1
4.508060800,0,0
4.513056800,1,0
4.513060640,1,1
4.518056800,0,1
4.518060640,0,0
4.523056640,1,0
4.523060480,1,1
4.528056480,0,1
4.528060480,0,0
4.533056480,1,0
4.533060320,1,1
4.538056320,0,1
4.538060320,0,0
4.543056320,1,0
4.543060000,1,1
4.548056160,0,1
4.548060000,0,0
4.553056160,1,0
4.553059840,1,1
4.558056000,0,1
4.558059840,0,0
4.563055840,1,0
4.563059680,1,1
4.568055840,0,1
4.568059680,0,0
4.573055680,1,0
4.573059520,1,1
4.578055680,0,1
4.578059520,0,0
4.583055520,1,0
4.583059360,1,1
4.588055520,0,1
4.588059360,0,0
4.593055360,1,0
4.593059200,1,1
4.598055360,0,1
4.598059200,0,0
4.603055200,1,0
4.603059040,1,1
4.608055200,0,1
4.608059040,0,0
4.613055040,1,0
4.613059040,1,1
4.618054880,0,1
4.618058880,0,0
4.623054880,1,0
4.623058720,1,1
4.628054720,0,1
4.628058720,0,0
4.633054720,1,0
4.633058400,1,1
4.638054560,0,1
4.638058400,0,0
4.643054560,1,0
4.643058240,1,1
4.648054400,0,1
4.648058240,0,0
4.653054400,1,0
4.653058080,1,1
4.658054240,0,1
4.658058080,0,0
4.663054080,1,0
4.663057920,1,1
4.668054080,0,1
4.668057920,0,0
4.673053920,1,0
4.673057760,1,1
4.678053920,0,1
4.678057760,0,0
4.683053760,1,0
4.683057600,1,1
4.688053760,0,1
4.688057600,0,0
4.693053600,1,0
4.693057440,1,1
4.698053600,0,1
4.698057440,0,0
4.703053440,1,0
4.703057280,1,1
4.708053280,0,1
4.708057280,0,0
4.713053280,1,0
4.713057120,1,1
4.718053120,0,1
4.718057120,0,0
4.723053120,1,0
4.723056800,1,1
4.728052960,0,1
4.728056800,0,0
4.733052960,1,0
4.733056640,1,1
4.738052800,0,1
4.738056640,0,0
4.743052800,1,0
4.743056480,1,1
4.748052640,0,1
4.748056480,0,0
4.753052480,1,0
4.753056320,1,1
4.758052480,0,1
4.758056320,0,0
4.763052320,1,0
4.763056160,1,1
4.768052320,0,1
4.768056160,0,0
4.773052160,1,0
4.773056000,1,1
4.778052160,0,1
4.778056000,0,0
4.783052000,1,0
4.783055840,1,1
4.788052000,0,1
4.788056000,0,0
4.793051840,1,0
4.793055680,1,1
4.798051680,0,1
4.798055680,0,0
4.803051680,1,0
4.803055520,1,1
4.808051520,0,1
4.808055520,0,0
4.813051520,1,0
4.813055200,1,1
4.818051360,0,1
4.818055200,0,0
4.823051360,1,0
4.823055040,1,1
4.828051200,0,1
4.828055040,0,0
4.833051200,1,0
4.833054880,1,1
4.838051040,0,1
4.838054880,0,0
4.843050880,1,0
4.843054720,1,1
4.848050880,0,1
4.848054720,0,0
4.853050720,1,0
4.853054560,1,1
4.858050720,0,1
4.858054560,0,0
4.863050560,1,0
4.863054400,1,1
4.868050560,0,1
4.868054400,0,0
4.873050400,1,0
4.873054240,1,1
4.878050400,0,1
4.878054240,0,0
4.883050240,1,0
4.883054080,1,1
4.888050240,0,1
4.888054080,0,0
4.893050080,1,0
4.893053920,1,1
4.898049920,0,1
4.898053920,0,0
4.903049920,1,0
4.903053600,1,1
4.908049760,0,1
4.908053600,0,0
4.913049760,1,0
4.913053440,1,1
4.918049600,0,1
4.918053440,0,0
4.923049600,1,0
4.923053280,1,1
4.928049440,0,1
4.928053280,0,0
4.933049280,1,0
4.933053120,1,1
4.938049280,0,1
4.938052320,0,0
4.943049120,1,0
4.943052160,1,1
4.948049120,0,1
4.948053120,0,0
4.953048960,1,0
4.953052800,1,1
4.958048960,0,1
4.958052800,0,0
4.963048800,1,0
4.963052640,1,1
4.968048800,0,1
4.968052640,0,0
4.973048640,1,0
4.973052480,1,1
4.978048640,0,1
4.978052480,0,0
4.983048480,1,0
4.983052320,1,1
4.988048320,0,1
4.988052320,0,0
4.993048320,1,0
4.993052160,1,1
4.998048160,0,1
4.998052000,0,0
5.003048160,1,0
5.003051840,1,1
5.008048000,0,1
5.008051840,0,0
5.013048000,1,0
5.013051680,1,1
5.018047840,0,1
5.018051680,0,0
5.023047680,1,0
5.023051520,1,1
5.028047680,0,1
5.028051520,0,0
5.033047520,1,0
5.033051360,1,1
5.038047520,0,1
