count,event_type,timestamp_sec,timestamp_nsec
232,rising,16398,900219310
233,falling,16398,900368910
234,rising,16398,900522635
235,falling,16398,900676484
236,rising,16398,900829959
237,falling,16398,900983683
238,rising,16398,901138033
239,falling,16398,901295632
240,rising,16398,901445857
241,falling,16398,901599081
242,rising,16398,901753056
243,falling,16398,901907280
244,rising,16398,902060880
245,falling,16398,902214854
246,rising,16398,902369329
247,falling,16398,902522553
248,rising,16398,902676153
249,falling,16398,902830377
250,rising,16398,902983852
251,falling,16398,903137951
252,rising,16398,903292051
253,falling,16398,903445900
254,rising,16398,903599500
255,falling,16398,903753224
256,rising,16398,903906949
257,falling,16398,904060798
258,rising,16398,904214772
259,falling,16398,904372746
260,rising,16398,904523471
261,falling,16398,904676196
262,rising,16398,904829795
263,falling,16398,904983645
264,rising,16398,905137869
265,falling,16398,905291344
266,rising,16398,905449693
267,falling,16398,905600793
268,rising,16398,905753392
269,falling,16398,905906992
270,rising,16398,906061091
271,falling,16398,906215191
272,rising,16398,906368665
273,falling,16398,906526514
274,rising,16398,906676239
275,falling,16398,906830214
276,rising,16398,906983813
277,falling,16398,907137788
278,rising,16398,907291262
279,falling,16398,907445362
280,rising,16398,907603585
281,falling,16398,907753811
282,rising,16398,907907410
283,falling,16398,908060885
284,rising,16398,908214609
285,falling,16398,908368459
286,rising,16398,908522558
287,falling,16398,908676907
288,rising,16398,908829757
289,falling,16398,908984231
290,rising,16398,909137831
291,falling,16398,909291556
292,rising,16398,909445655
293,falling,16398,909603254
294,rising,16398,909753354
295,falling,16398,909907078
296,rising,16398,910065177
297,falling,16398,910215027
298,rising,16398,910368502
299,falling,16398,910522601
300,rising,16398,910680575
301,falling,16398,910830300
302,rising,16398,910989024
303,falling,16398,911138499
304,rising,16398,911291849
305,falling,16398,911445823
306,rising,16398,911599548
307,falling,16398,911757647
308,rising,16398,911907622
309,falling,16398,912060846
310,rising,16398,912214696
311,falling,16398,912368545
312,rising,16398,912522520
313,falling,16398,912675869
314,rising,16398,912834218
315,falling,16398,912984068
316,rising,16398,913138168
317,falling,16398,913291392
318,rising,16398,913445492
319,falling,16398,913599716
320,rising,16398,913753566
321,falling,16398,913907915
322,rising,16398,914061264
323,falling,16398,914215114
324,rising,16398,914368464
325,falling,16398,914522438
326,rising,16398,914676038
327,falling,16398,914834136
328,rising,16398,914984486
329,falling,16398,915137961
330,rising,16398,915291310
331,falling,16398,915445785
332,rising,16398,915599384
333,falling,16398,915753484
334,rising,16398,915910958
335,falling,16398,916061433
336,rising,16398,916214407
337,falling,16398,916368757
338,rising,16398,916522606
